subject,cond1f2s,p_eideo,p_sideo,p_oideo,age,sex,fast1,fast2,fast3,fast4,fast5,fast6,secs1,secs2,secs3,secs4,secs5,secs6,secs7,secs8,secs9,secs10,srs1,srs2,srs3,srs4,srs5,srs6,srs7,srs8,srs9,srs10,srs11,srs12,srs13,srs14,srs15,srs16,srs17,srs18,srs19,srs20,srs21,srs22,srs23,srs24,srs25,srs26,srs27,srs28,srs29,srs30
104,1,7,1,1,19,2,7,4,5,7,6,3,2,4,6,5,3,4,3,5,5,5,6,7,5,7,7,6,7,5,7,7,7,4,7,6,5,5,7,5,7,5,6,7,6,7,7,5,5,4,5,5
105,2,6,6,6,21,1,2,6,3,3,5,5,6,6,6,7,5,5,7,5,7,7,6,5,6,6,7,6,7,6,7,7,6,5,6,5,5,7,6,7,5,6,7,4,4,6,6,5,4,4,6,4
106,2,6,7,6,18,2,3,5,3,4,4,5,7,5,6,6,4,6,7,6,4,7,6,4,5,6,5,5,5,6,6,4,5,5,5,6,6,4,7,6,7,5,6,4,5,6,5,2,2,4,6,2
107,2,9,9,9,19,1,1,7,1,1,1,6,7,7,7,3,7,7,6,4,7,7,3,7,5,7,3,4,7,7,3,1,5,7,6,5,3,1,5,7,2,5,6,6,3,4,4,4,1,1,4,1
108,1,5,5,5,19,2,7,4,6,7,6,6,3,4,4,6,5,5,7,6,4,6,6,7,4,2,7,5,4,7,7,7,4,3,3,3,7,4,4,5,4,4,7,4,7,7,4,4,3,4,3,4
109,1,5,5,6,18,1,3,2,5,1,6,2,4,4,5,3,4,5,4,7,7,7,6,6,3,4,5,5,4,7,5,6,1,4,5,4,7,7,7,7,6,4,7,3,3,7,7,4,3,6,5,3
110,1,4,9,7,19,2,2,5,5,3,6,4,6,4,5,6,2,5,6,6,7,6,5,6,4,5,5,4,6,6,6,7,6,2,6,5,4,6,6,6,6,6,5,5,4,6,6,6,2,4,7,3
111,1,9,9,9,18,1,4,6,5,2,7,5,7,4,7,7,7,7,7,7,4,7,4,7,6,1,7,2,7,7,7,7,7,3,5,2,7,4,7,3,7,3,7,7,6,7,7,2,2,5,4,2
112,2,5,3,2,18,2,6,6,7,4,7,3,3,3,4,4,3,2,6,4,4,6,7,7,6,5,7,4,5,6,7,6,6,5,6,4,7,5,7,6,7,4,7,7,6,7,5,4,2,4,3,4
113,2,5,2,4,23,1,6,3,6,2,6,5,2,5,6,4,5,2,4,5,7,7,6,7,6,6,7,5,5,7,7,7,6,6,7,6,6,5,6,7,7,4,6,6,5,5,7,5,3,5,7,1
114,2,8,8,8,18,2,7,4,5,3,4,5,4,5,7,6,3,4,7,7,5,7,7,6,7,5,7,4,6,6,7,6,6,6,6,5,7,6,6,7,7,6,7,7,5,7,6,5,5,7,1,6
115,1,4,4,4,19,1,7,6,5,3,4,4,3,3,5,2,5,4,4,4,4,5,6,6,6,4,5,5,6,6,7,4,7,6,7,5,7,5,5,6,4,5,7,7,4,7,5,6,5,6,5,7
116,2,3,1,4,19,1,3,3,6,7,6,7,5,4,7,6,5,5,6,6,7,6,7,4,4,6,7,6,6,6,7,7,5,7,5,7,6,4,6,5,7,3,5,7,7,7,5,3,2,4,6,7
117,2,3,1,2,18,2,7,4,7,4,7,3,1,6,6,3,4,4,4,5,6,5,5,7,7,4,7,6,6,6,7,7,7,5,7,7,6,6,6,6,7,7,5,7,7,7,7,4,5,7,6,4
118,1,2,1,2,19,1,7,1,7,7,7,2,1,1,4,3,2,2,2,2,6,5,5,7,5,3,7,6,5,5,7,7,6,6,5,6,6,4,3,5,4,5,5,6,7,7,7,6,5,7,4,3
119,1,5,5,6,19,2,5,1,7,4,7,6,1,6,6,7,1,7,7,7,5,7,6,7,7,2,6,4,6,7,7,7,7,5,7,1,7,7,6,7,7,2,7,7,7,7,7,2,7,7,7,6
